agent_name,size,dirt_rate,seed,repetition,initial_dirt,final_dirt,cells_cleaned,actions_taken,performance,success,is_finished,runtime_sec,recording
random,8x8,0.2,333,1,0,0,0,1000,-10.0,True,True,6.779,game_2025-08-25_17-47-38_julianfernandezrandomagent.json
simple_reflex,8x8,0.2,333,1,0,0,0,319,-3.19,True,True,2.364,game_2025-08-25_17-47-41_julianfernandezrandomagent.json
random,8x8,0.2,444,1,0,0,0,1000,-10.0,True,True,8.621,game_2025-08-25_17-47-50_julianfernandezrandomagent.json
simple_reflex,8x8,0.2,444,1,0,0,0,407,-4.07,True,True,5.319,game_2025-08-25_17-47-55_julianfernandezrandomagent.json
random,8x8,0.2,555,1,0,0,0,1000,-10.0,True,True,6.786,game_2025-08-25_17-48-02_julianfernandezrandomagent.json
simple_reflex,8x8,0.2,555,1,0,0,0,598,-5.98,True,True,4.266,game_2025-08-25_17-48-06_julianfernandezrandomagent.json
random,8x8,0.2,666,1,0,0,0,1000,-10.0,True,True,6.854,game_2025-08-25_17-48-13_julianfernandezrandomagent.json
simple_reflex,8x8,0.2,666,1,0,0,0,323,-3.23,True,True,2.449,game_2025-08-25_17-48-15_julianfernandezrandomagent.json
random,8x8,0.2,777,1,0,0,0,1000,-10.0,True,True,6.879,game_2025-08-25_17-48-22_julianfernandezrandomagent.json
simple_reflex,8x8,0.2,777,1,0,0,0,315,-3.15,True,True,2.371,game_2025-08-25_17-48-25_julianfernandezrandomagent.json
random,8x8,0.2,888,1,0,0,0,1000,-10.0,True,True,6.829,game_2025-08-25_17-48-32_julianfernandezrandomagent.json
simple_reflex,8x8,0.2,888,1,0,0,0,463,-4.63,True,True,3.352,game_2025-08-25_17-48-35_julianfernandezrandomagent.json
random,8x8,0.2,999,1,0,0,0,1000,-10.0,True,True,6.832,game_2025-08-25_17-48-42_julianfernandezrandomagent.json
simple_reflex,8x8,0.2,999,1,0,0,0,869,-8.69,True,True,5.981,game_2025-08-25_17-48-48_julianfernandezrandomagent.json
random,8x8,0.2,0,1,0,0,0,1000,-10.0,True,True,6.792,game_2025-08-25_17-48-55_julianfernandezrandomagent.json
simple_reflex,8x8,0.2,0,1,0,0,0,400,-4.0,True,True,2.923,game_2025-08-25_17-48-58_julianfernandezrandomagent.json
